index,Reference,Owner,NIF/CIF,Registered office,City,Province,Postal Code,Concession opening,Concession termination,Municipality,Frequency,Frequency GHZ,Frequency GHZ rounded,Last opened concession,Number of concession,# of concession in municipality,# of owner in municipality,Population,population,Coordinates,Longitude,Latitude
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Amurrio,22074.5,22.0745,22.0,31/10/2007,407,3,2,small city,10264,"43.02565593907329, -2.9718927911008195", -2.9718927911008195,43.02565593907329
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Abadiño,12765.0,12.765,13.0,31/10/2007,407,4,2,small village,0,"43.12578176479929, -2.622355317118305", -2.622355317118305,43.12578176479929
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Abadiño,12793.0,12.793,13.0,31/10/2007,407,4,2,small village,0,"43.12578176479929, -2.622355317118305", -2.622355317118305,43.12578176479929
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Alonsotegi,15159.0,15.159,15.0,31/10/2007,407,23,2,small village,0,"43.228020767543605, -2.986832961834287", -2.986832961834287,43.228020767543605
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Alonsotegi,23075.5,23.0755,23.0,31/10/2007,407,23,2,small village,0,"43.228020767543605, -2.986832961834287", -2.986832961834287,43.228020767543605
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Alonsotegi,23089.5,23.0895,23.0,31/10/2007,407,23,2,small village,0,"43.228020767543605, -2.986832961834287", -2.986832961834287,43.228020767543605
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Alonsotegi,23117.5,23.1175,23.0,31/10/2007,407,23,2,small village,0,"43.228020767543605, -2.986832961834287", -2.986832961834287,43.228020767543605
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Arrigorriaga,22081.5,22.0815,22.0,31/10/2007,407,1,1,small city,12225,"43.208473398234155, -2.9129158416483247", -2.9129158416483247,43.208473398234155
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Barakaldo,22109.5,22.1095,22.0,31/10/2007,407,5,3,small village,0,"43.27273719042788, -3.0034009665471144", -3.0034009665471144,43.27273719042788
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Barrika,13031.0,13.031,13.0,31/10/2007,407,5,2,small village,0,"43.39789247804755, -2.962195313917967", -2.962195313917967,43.39789247804755
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Barrika,18360.0,18.36,18.0,31/10/2007,407,5,2,small village,0,"43.39789247804755, -2.962195313917967", -2.962195313917967,43.39789247804755
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Bermeo,22088.5,22.0885,22.0,31/10/2007,407,8,2,small city,16864,"43.41333355665836, -2.7548594927697905", -2.7548594927697905,43.41333355665836
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Bermeo,23096.5,23.0965,23.0,31/10/2007,407,8,2,small city,16864,"43.41333355665836, -2.7548594927697905", -2.7548594927697905,43.41333355665836
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Bermeo,37142.0,37.142,37.0,31/10/2007,407,8,2,small city,16864,"43.41333355665836, -2.7548594927697905", -2.7548594927697905,43.41333355665836
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Bermeo,38402.0,38.402,38.0,31/10/2007,407,8,2,small city,16864,"43.41333355665836, -2.7548594927697905", -2.7548594927697905,43.41333355665836
0,BIBI-0700268,ITELAZPI,A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,Bilbao,22067.5,22.0675,22.0,31/10/2007,407,72,6,large city,350184,"43.25411415422772, -2.937371038769195", -2.937371038769195,43.25411415422772
